ID,SYMBOL,ENTREZID,ENSEMBL,logFC,AveExpr,P.Value,adj.P.Val,fc,Ctrl,KO
17278840,Mir376a,723855,NA,1.62820989826042,7.08031736384306,8.0559186300888e-11,1.45303657985697e-06,3.09129191913507,6.42240323764076,7.94150963378339
17350196,Scgb3a2,117158,ENSMUSG00000038791,-1.05551101359249,9.49700580900817,1.78340571996296e-10,1.45303657985697e-06,-2.0784542805927,9.81515149999792,8.76261701297163
17278838,Mir376b,723934,ENSMUSG00000076006,1.6378494754867,9.47195314429482,6.66812616077182e-10,4.01871293394316e-06,3.11201599509574,8.77188103336251,10.173797768474
17326069,Retnla,57262,ENSMUSG00000061100,-2.2744433881602,10.1514218394323,9.62684604916781e-10,4.5536660762783e-06,-4.83810938676499,11.4160575225067,9.26628273636007
17315245,Krt18,16668,ENSMUSG00000023043,1.34082234774326,11.342713158778,1.13336360632471e-09,4.5536660762783e-06,2.53295658209365,10.6692089443911,12.0844648547019
17278709,Mir434,723867,ENSMUSG00000070133,2.3139432935502,7.84831788616939,1.70862783814925e-09,5.32057153106346e-06,4.97240322691208,7.21340447623551,9.11759000322526
17278828,Mir543,723881,ENSMUSG00000076241,1.40719737333117,9.57517800165331,1.94698621501849e-09,5.32057153106346e-06,2.65221434195483,8.93936607099648,10.1854350046585
17278836,Mir654,100124453,ENSMUSG00000077980,1.43611646622565,9.26621269936849,1.98635847594355e-09,5.32057153106346e-06,2.70591489701974,8.63160151208446,9.90819914661738
17278886,Mir409,723862,NA,1.35246181578731,8.54262060198198,2.27742760775783e-09,5.49019473402181e-06,2.55347479024219,8.06198344318378,9.25847210288329
17278702,Mir431,723866,ENSMUSG00000070080,1.13895289754113,8.88033847150378,3.53745643034817e-09,7.08126870677304e-06,2.20221129516531,8.63140434241579,9.48780286062197
17278711,Mir432,100316735,ENSMUSG00000087855,1.66056925782642,9.79094536942646,3.55802185210456e-09,7.08126870677304e-06,3.1614124297822,9.3358587311626,10.7569902841146
17541736,Plac1,56096,ENSMUSG00000061082,2.57450047998735,7.69264196795195,4.11240560396659e-09,7.08126870677304e-06,5.95664706062979,6.27338742992531,9.07976243076865
17252183,Eno3,13808,ENSMUSG00000060600,1.10872890480639,10.1135812199585,7.66970887627858e-09,1.1555854492528e-05,2.15655558939082,9.56279334513656,10.8089554162328
17453496,Cldn4,12740,ENSMUSG00000047501,1.94605511319498,9.59333579119967,9.36030447368946e-09,1.32734623498372e-05,3.85319477130377,8.92464524024068,11.0801131744703
17322113,Krt8,16691,ENSMUSG00000049382,0.735294370410575,11.5621678989726,2.33272009292227e-08,2.95973069895143e-05,1.66473711109442,11.2684870703349,11.9297527565108
17465942,Atp6v0a4,140494,ENSMUSG00000038600,0.690655025462624,10.9923686250328,2.61118165823872e-08,3.14738781175804e-05,1.61401616233995,10.763162977183,11.4017093100771
17226473,Tmem163,72160,ENSMUSG00000026347,-0.81741701520631,8.52508256423851,3.16808881090735e-08,3.53015962406147e-05,-1.76224805757886,8.96299017183134,8.13468988502123
17409343,5330417C22Rik,229722,ENSMUSG00000040412,-0.867133229104445,9.70288083650913,3.34666610974034e-08,3.53015962406147e-05,-1.82403476809048,10.19128429888,9.2189133799032
17278842,Mir300,723833,ENSMUSG00000098807,1.40751922912039,8.63005498444332,3.36805373349707e-08,3.53015962406147e-05,2.65280609956318,8.06327007852089,9.39310089256208
17278852,Mir382,723912,ENSMUSG00000065428,1.12430142222218,10.2976018189427,3.56999424559601e-08,3.58591046994095e-05,2.17995963573751,9.80339018244397,10.8551308705581
17278713,Mir136,387154,NA,2.14635690331194,7.96159689353362,4.41737391537789e-08,4.25958531912059e-05,4.42708447795351,7.38703305060032,9.19615949880253
17512732,Nqo1,18104,ENSMUSG00000003849,1.04433346324544,7.20974836099701,5.54925837534859e-08,5.14522967902033e-05,2.06241328686958,6.78162855623675,7.70523886759211
17459621,Tmem150a,232086,ENSMUSG00000055912,0.539185271669107,9.53427712740189,5.85932789328275e-08,5.23151176012472e-05,1.45315165210203,9.24038673798472,9.75193410581847
17278806,Mir411,723936,ENSMUSG00000065477,1.17098697866792,7.52052508060631,6.20627840742481e-08,5.32376331810608e-05,2.25165684940345,7.14926816601104,8.10418631320143
17480018,Ctsc,13032,ENSMUSG00000030560,0.684365151926503,11.7436607324321,6.46174640306674e-08,5.32376331810608e-05,1.60699467887178,11.305497436541,12.0546887142649
17361814,Frmd8,67457,ENSMUSG00000024816,0.727504797144633,9.3022275761857,6.6251669450028e-08,5.32376331810608e-05,1.65577288361937,8.93610064412578,9.82381568813154
17278832,Mir667,751552,ENSMUSG00000076396,0.773908804993688,10.2519061619455,7.69631825219942e-08,5.80860082505895e-05,1.7098962671547,9.94114632549554,10.5877170903684
17278803,Mir379,723858,ENSMUSG00000065498,1.26859160589733,7.83648337354743,7.71042545326612e-08,5.80860082505895e-05,2.40926252610996,7.36305624428168,8.56433205150624
17217830,Gm16880,100503474,NA,-1.12556047011048,7.25131476270308,1.00640565751804e-07,7.28943713059786e-05,-2.18186292887463,7.69641825700199,6.49967426337718
17312186,Psca,72373,ENSMUSG00000022598,1.45480972944603,6.96119481841336,1.02808670693295e-07,7.28943713059786e-05,2.74120406105561,6.04122011754056,7.76293019139339
